id,session_key,ohjeet,mita_tein,yksinkertainen,vaativa,paineita,hauskaa,heijastaa,suoritustasi,ymmarsin,tehtava,strategian,kriteereita,vaikutelman,kommentteja
1,eorwm,0,0,0,0,0,0,0,0,0,,,,,
2,eorwm,0,0,0,0,0,0,0,0,0,,,,,
3,eorwm,0,0,0,0,0,0,0,0,0,,,,,
4,eorwm,0,0,0,0,0,0,0,0,0,,,,,
5,eorwm,0,0,0,0,0,0,0,0,0,x,x,x,x,x
6,eorwm,0,0,0,0,0,0,0,0,0,x,x,x,x,x
7,eorwm,0,0,0,0,0,0,0,0,0,x,x,x,x,x
8,eorwm,0,0,0,0,0,0,0,0,0,x,x,x,x,x
9,eorwm,0,0,0,0,0,0,0,0,0,x,x,x,x,x
10,eorwm,0,0,0,0,0,0,0,0,0,x,x,x,x,x
11,eorwm,0,0,0,0,0,0,0,0,0,x,x,x,x,x
12,f0kyq,0,0,0,0,0,0,0,0,0,,,,,
13,f0kyq,0,0,0,0,0,0,0,0,0,,,,,
14,hihx5,0,0,0,0,0,0,0,0,0,,,,,
15,94i8i,0,0,0,0,0,0,0,0,0,,,,,
16,ez8im,0,0,0,0,0,0,0,0,0,x,x,x,x,x
17,b286r,VahvastiSamaaMielta,EriMielta,EiSamaaEikaEriMielta,SamaaMielta,VahvastiSamaaMielta,VahvastiSamaaMielta,EriMielta,Huono,HyvinVahanAjasta,s,s,s,s,s
18,x2ubo,VahvastiSamaaMielta,EriMielta,SamaaMielta,EiSamaaEikaEriMielta,VahvastiSamaaMielta,VahvastiSamaaMielta,EiSamaaEikaEriMielta,Kohtalainen,SuurimmanOsanAjasta,x,xx,xxx,xxxx,
19,9qs2y,EriMielta,VahvastiSamaaMielta,SamaaMielta,VahvastiSamaaMielta,EriMielta,VahvastiSamaaMielta,EiSamaaEikaEriMielta,TodellaHyva,JonkinVerranAjasta,проверка,й,ц,у,
20,do151,SamaaMielta,SamaaMielta,SamaaMielta,EriMielta,EriMielta,SamaaMielta,EiSamaaEikaEriMielta,Kohtalainen,SuurimmanOsanAjasta,Rajojen laittamista,,,,
21,5esyc,SamaaMielta,SamaaMielta,EriMielta,EiSamaaEikaEriMielta,EriMielta,SamaaMielta,SamaaMielta,Kohtalainen,SuurimmanOsanAjasta,:O,,,Kyllä!,
22,1sycy,VahvastiSamaaMielta,VahvastiSamaaMielta,VahvastiSamaaMielta,SamaaMielta,SamaaMielta,SamaaMielta,SamaaMielta,Kohtalainen,KokoAjan,Kyllä,,,,
23,d1iks,EiSamaaEikaEriMielta,EiSamaaEikaEriMielta,SamaaMielta,SamaaMielta,SamaaMielta,EiSamaaEikaEriMielta,EriMielta,Kohtalainen,SuurimmanOsanAjasta,E,E,Emt,Emt,Ei
24,nxb57,SamaaMielta,EiSamaaEikaEriMielta,SamaaMielta,EriMielta,SamaaMielta,VahvastiSamaaMielta,VahvastiSamaaMielta,Hyva,JonkinVerranAjasta,,,,,
25,rot3e,VahvastiSamaaMielta,SamaaMielta,EiSamaaEikaEriMielta,SamaaMielta,VahvastiSamaaMielta,EiSamaaEikaEriMielta,EiSamaaEikaEriMielta,Kohtalainen,EhYhtaan,,,,,
