,zkzfy
,"12-11-2020
20:11:42"
"(1, 'practice_ajantaju', 1)",1
"(1, 'practice_ajantaju', 2)",0
"(1, 'practice_ajantaju', 3)",0
"(1, 'practice_ajantaju', 4)",0
"(1, 'practice_ajantaju', 5)",0
"(1, 'practice_ajantaju', 6)",0
"(1, 'practice_ajantaju', 7)",0
"(1, 'practice_ajantaju', 8)",0
"(1, 'practice_ajantaju', 9)",0
"(1, 'practice_ajantaju', 10)",0
"(1, 'practice_ajantaju', 11)",0
"(1, 'practice_ajantaju', 12)",0
"(1, 'practice_ajantaju', 13)",0
"(1, 'practice_ajantaju', 14)",0
"(1, 'practice_ajantaju', 15)",0
"(1, 'practice_ajantaju', 16)",0
"(1, 'practice_ajantaju', 17)",0
"(1, 'practice_ajantaju', 18)",0
"(1, 'practice_ajantaju', 19)",0
"(1, 'practice_ajantaju', 20)",0
"(1, 'practice_ajantaju', 21)",0
"(1, 'practice_ajantaju', 22)",0
"(1, 'practice_ajantaju', 23)",0
"(1, 'practice_ajantaju', 24)",0
"(1, 'practice_ajantaju', 25)",0
"(1, 'practice_ajantaju', 26)",0
"(1, 'practice_ajantaju', 27)",0
"(1, 'practice_ajantaju', 28)",0
"(1, 'practice_ajantaju', 29)",0
"(1, 'practice_ajantaju', 30)",0
"(1, 'practice_ajantaju', 31)",0
"(1, 'practice_ajantaju', 32)",0
"(1, 'practice_ajantaju', 33)",0
"(1, 'practice_ajantaju', 34)",0
"(1, 'practice_ajantaju', 35)",0
"(1, 'practice_ajantaju', 36)",0
"(1, 'practice_ajantaju', 37)",0
"(1, 'practice_ajantaju', 38)",0
"(1, 'practice_ajantaju', 39)",0
"(1, 'practice_ajantaju', 40)",0
"(1, 'practice_ajantaju', 41)",0
"(1, 'practice_ajantaju', 42)",0
"(1, 'practice_ajantaju', 43)",0
"(1, 'practice_ajantaju', 44)",0
"(1, 'practice_ajantaju', 45)",0
"(1, 'practice_ajantaju', 46)",0
"(1, 'practice_ajantaju', 47)",0
"(1, 'practice_ajantaju', 48)",0
"(1, 'practice_ajantaju', 49)",0
"(1, 'practice_ajantaju', 50)",0
"(1, 'practice_ajantaju', 51)",0
"(1, 'practice_ajantaju', 52)",0
"(1, 'practice_ajantaju', 53)",0
"(1, 'practice_ajantaju', 54)",0
"(1, 'practice_ajantaju', 55)",0
"(1, 'practice_ajantaju', 56)",0
"(1, 'practice_ajantaju', 57)",0
"(1, 'practice_ajantaju', 58)",0
"(1, 'practice_ajantaju', 59)",0
"(1, 'practice_ajantaju', 60)",0
"(1, 'practice_ajantaju', 61)",0
"(1, 'practice_ajantaju', 62)",0
"(1, 'practice_ajantaju', 63)",0
"(1, 'practice_ajantaju', 64)",0
"(1, 'practice_ajantaju', 65)",0
"(1, 'practice_ajantaju', 66)",0
"(1, 'practice_ajantaju', 67)",0
"(1, 'practice_ajantaju', 68)",0
"(1, 'practice_ajantaju', 69)",0
"(1, 'practice_ajantaju', 70)",0
"(1, 'practice_ajantaju', 71)",0
"(1, 'practice_ajantaju', 72)",0
"(1, 'practice_ajantaju', 73)",1
