,zkzfy
"1, Ovatko puhujan mielestä päivät yleensä samanlaisia?",Kyllä
"2, Murtautuiko mies palatsiin vain kerran?",0
"3, Onko puhuja koulutukseltaan kenkäsuunnittelja?",0
"4, Voiko puhujan mainitsema ilmiö näyttäytyä oudolta sosiaalisille verkostoille?",0
"5, Onko levy tehty demojen pohjalta?",0
"6, Vaikuttaako järvien jääpeiteaika järven lajistoon?",0
"7, Pitikö tentissä tehdä kaksi tehtävää?",0
"8, Vaikuttiko artikkeli puhujan mielestä tylsältä?",0
"9, Haluaisiko puhuja lähteä matkalle?",0
"10, Pitääkö puhuja omasta äänestään?",0
"11, Kokeeko puhuja sosiaalisen median lisäävän läsnäolon painetta?",0
"12, Aikooko puhuja mennä mökille?",0
"13, Onko ryyppääminen puhujan mielestä sitä hauskempaa, mitä useammin sitä tekee?",0
"14, Huomattiinko aivoissa muutosta?",0
"15, Oliko puhuja ylpeä Euroviisuissa olosta?",0
"16, Pitääkö puhuja normikriittisyyttä tärkeänä?",0
"17, Tarvitseeko puhujan mielestä olla musikaalisesti lahjakas?",0
"18, Eroavatko sosiaalinen media ja kirjat toisistaan?",0
"19, Onko tekoäly alana laaja?",0
"20, Olivatko demokraatit ja republikaanit jossain vaiheessa molemmat ympäristömyönteisiä?",0
"21, Kannattaako puhuja uskontodialogia?",0
"22, Pitääkö puhuja vuorokausirytmin tutkimista hyödyllisenä?",0
"23, Pitääkö puhuja lasten kanssa pelaamista turhana?",0
"24, Kävikö puhuja hautausmaalla?",0
"25, Tapahtuiko suunnistus Helsingissä?",0
"26, Aikooko joukkue pelata talvella futsalia?",0
"27, Juoko puhuja vaaleaa glögiä?",0
"28, Tarvitseeko puhujan mukaan kitaraa opetellessa osata nuotteja?",0
"29, Pitääkö puhujan perhe eläimistä?",0
"30, Liikkuuko puhuja joka päivä yhtä paljon?",0
"31, Huolehtiiko teknikko näyttelijöiden mikrofoneista?",0
"32, Onko kuulonalenema yleinen vain muusikoilla?",0
"33, Onko puhujan mukaan öljy- ja vesivärien maalaustekniikka samanlainen?",0
"34, Pitäisikö puhujan mielestä hampaat pestä aamulla?",0
"35, Ovatko ikäluokat erikokoisia?",0
"36, Onko henkilö puhunut ystävien kanssa kasvotusten?",0
"37, Pitikö henkilön kaveri kirjasta?",0
"38, Uskooko henkilö että elämä voi olla hyvää vaikka rahaa ei olisikaan paljoa?",0
"39, Käyttääkö henkilö kuulokojetta päivittäin?",0
"40, Haluaako lapsi itse treenata?",0
"41, Nolottaako lukihäiriö puhujaa?",0
"42, Onko henkilö avannut sisäisiä lukkoja?",0
"43, Saavatko nuoret ajaa jatkuvasti toria ympäri?",0
